scheme_code,scheme_name,universe_source,aum_cr,aum_source,aum_matched,debt_like,passes_user_aum_threshold
152076,360 ONE Balanced Hybrid Fund- Direct Plan - Growth,mfapi,442.7596,amfi_average_aum,True,False,False
etm_44151,360 one balanced hybrid fund direct growth,etmoney,442.7596,amfi_average_aum,True,False,False
122715,360 ONE Dynamic Bond Fund Direct Plan Growth,mfapi,298.5299,amfi_average_aum,True,True,False
etm_19315,360 one dynamic bond fund direct growth,etmoney,298.5299,amfi_average_aum,True,True,False
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,mfapi,16.2651,amfi_average_aum,True,False,False
etm_43352,360 one elss tax saver nifty 50 index fund direct growth,etmoney,16.2651,amfi_average_aum,True,False,False
151796,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,mfapi,2.7592000000000003,amfi_average_aum,True,False,False
etm_43954,360 one flexicap fund direct growth,etmoney,2.7592000000000003,amfi_average_aum,True,False,False
131580,360 ONE Focused Fund-Direct Plan-Growth,mfapi,4106.9472,amfi_average_aum,True,False,False
etm_27978,360 one focused fund direct growth,etmoney,4106.9472,amfi_average_aum,True,False,False
125345,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,mfapi,70.3208,amfi_average_aum,True,True,False
etm_21882,360 one liquid fund direct growth,etmoney,70.3208,amfi_average_aum,True,True,False
153774,360 ONE Multi Asset Allocation Fund - Direct Plan - Growth,mfapi,0.4540999999999999,amfi_average_aum,True,False,False
etm_45748,360 one multi asset allocation fund direct growth,etmoney,0.4540999999999999,amfi_average_aum,True,False,False
153703,360 ONE Overnight Fund - Direct Plan - Growth,mfapi,0.0062,amfi_average_aum,True,True,False
etm_45666,360 one overnight fund direct growth,etmoney,0.0062,amfi_average_aum,True,True,False
etm_42295,360 one quant fund direct growth,etmoney,309.9871,amfi_average_aum,True,False,False
etm_46010,abakkus flexi cap fund direct growth,etmoney,1.931,amfi_average_aum,True,False,False
154051,Abakkus Liquid Fund - Direct Plan - Growth,mfapi,67.47970000000001,amfi_average_aum,True,True,False
etm_46017,abakkus liquid fund direct growth,etmoney,67.47970000000001,amfi_average_aum,True,True,False
154215,Abakkus Small Cap Fund - Direct Plan - Growth,mfapi,30.6471,amfi_average_aum,True,False,False
etm_46184,abakkus small cap fund direct growth,etmoney,30.6471,amfi_average_aum,True,False,False
131901,Aditya Birla Sun Life 5 Star Multi Manager FoF Scheme - Direct Plan - Growth Option,mfapi,,unmatched,False,False,False
132185,Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Direct Plan - Growth Option,mfapi,30.6286,amfi_average_aum,True,False,False
etm_16494,aditya birla sun life aggressive hybrid omni fof direct growth,etmoney,0.0455,amfi_average_aum,True,False,False
119526,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,mfapi,7858.8685,amfi_average_aum,True,False,False
etm_15306,aditya birla sun life arbitrage fund direct growth,etmoney,20.7231,amfi_average_aum,True,False,False
119493,Aditya Birla Sun Life Asset Allocation - Aggressive Plan - Growth - Direct Plan,mfapi,,unmatched,False,False,False
119490,Aditya Birla Sun Life Asset Allocation-Conservative Plan - Growth - Direct Plan,mfapi,,unmatched,False,False,False
119495,Aditya Birla Sun Life Asset Allocation - Moderate Plan - Growth - Direct Plan,mfapi,,unmatched,False,False,False
146407,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA DIRECT GROWTH,mfapi,1.1691,amfi_average_aum,True,False,False
131670,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,mfapi,7343.8526,amfi_average_aum,True,False,False
etm_16460,aditya birla sun life balanced advantage fund direct growth,etmoney,19.8981,amfi_average_aum,True,False,False
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,mfapi,6769.0961,amfi_average_aum,True,True,True
